Participant.id_in_session,Participant.code,Participant.label,Participant._is_bot,Participant._index_in_pages,Participant._max_page_index,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.quiz_q1,Player.quiz_q2,Player.role_int,Player.seller_price0,Player.seller_price1,Player.seller_price2,Player.seller_price3,Player.seller_price4,Player.seller_price5,Player.seller_price6,Player.seller_price7,Player.seller_price8,Player.seller_price9,Player.seller_price10,Player.seller_price11,Player.seller_price12,Player.seller_price13,Player.seller_price14,Player.seller_price15,Player.seller_total_price,Player.sales,Player.earnings,Player.buyer_choice,Player.seller_selected,Player.price_paid,Player.identifier,Player.cum_profits,Player.clicks,Player.payoff,Group.id_in_subsession,Subsession.round_number,Subsession.num_prices,Subsession.sellers_per_group,Subsession.buyers_per_group,Subsession.game_number,Session.code,Session.label,Session.experimenter_name,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.comment,Session.is_demo
1,u6wb86wx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:48.887364+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,254,1,546,0,0,3,1,8,2,2,1,rr95817w,,,,,,,,0
2,euefk5r0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.090166+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,254,2,546,0,0,3,1,8,2,2,1,rr95817w,,,,,,,,0
3,qpookmnh,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.246167+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,388,1,412,0,0,1,1,8,2,2,1,rr95817w,,,,,,,,0
4,38n1fons,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.402168+00:00,0,1,,,3,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,296,1,504,0,0,2,1,8,2,2,1,rr95817w,,,,,,,,0
5,ircptch2,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.558169+00:00,0,1,,,2,800 tokens,800 tokens,1,15,28,19,74,20,3,53,84,,,,,,,,,296,2,392,,,,1,392,0,0,2,1,8,2,2,1,rr95817w,,,,,,,,0
6,x7xka33o,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.714170+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,260,2,540,0,0,1,1,8,2,2,1,rr95817w,,,,,,,,0
7,kcpuzzz9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.871171+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,1,13,75,41,37,12,37,0,38,,,,,,,,,253,0,0,,,,2,0,0,0,2,1,8,2,2,1,rr95817w,,,,,,,,0
8,fp6k0k6z,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.011572+00:00,0,1,,,1,0 tokens,0 tokens,1,81,24,2,46,15,38,9,39,,,,,,,,,254,1,154,,,,1,154,0,0,3,1,8,2,2,1,rr95817w,,,,,,,,0
9,sh6hsflz,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.169573+00:00,0,1,,,4,800 tokens,800 tokens,1,98,0,93,5,27,51,86,28,,,,,,,,,388,1,288,,,,1,288,0,0,1,1,8,2,2,1,rr95817w,,,,,,,,0
10,fnzmcyq8,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.325574+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,1,60,33,68,5,7,36,42,3,,,,,,,,,254,1,154,,,,2,154,0,0,3,1,8,2,2,1,rr95817w,,,,,,,,0
11,smom7ta6,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.481575+00:00,0,1,,,2,0 tokens,0 tokens,1,12,29,3,41,35,56,7,77,,,,,,,,,260,1,160,,,,2,160,0,0,1,1,8,2,2,1,rr95817w,,,,,,,,0
12,fgthtd8j,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.637576+00:00,0,1,,,4,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,296,2,504,0,0,2,1,8,2,2,1,rr95817w,,,,,,,,0
1,u6wb86wx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:48.887364+00:00,0,1,,,4,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,334,1,466,0,0,2,2,8,2,2,1,rr95817w,,,,,,,,0
2,euefk5r0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.090166+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,332,1,468,0,0,3,2,8,2,2,1,rr95817w,,,,,,,,0
3,qpookmnh,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.246167+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,1,25,39,64,74,94,58,66,15,,,,,,,,,435,0,0,,,,2,0,0,0,3,2,8,2,2,1,rr95817w,,,,,,,,0
4,38n1fons,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.402168+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,382,2,418,0,0,1,2,8,2,2,1,rr95817w,,,,,,,,0
5,ircptch2,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.558169+00:00,0,1,,,3,800 tokens,800 tokens,1,99,10,1,79,57,22,19,95,,,,,,,,,382,2,564,,,,2,564,0,0,1,2,8,2,2,1,rr95817w,,,,,,,,0
6,x7xka33o,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.714170+00:00,0,1,,,4,0 tokens,0 tokens,1,61,5,5,56,75,57,59,14,,,,,,,,,332,2,464,,,,1,464,0,0,3,2,8,2,2,1,rr95817w,,,,,,,,0
7,kcpuzzz9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.871171+00:00,0,1,,,4,800 tokens,800 tokens,1,13,42,65,88,49,67,78,63,,,,,,,,,465,0,0,,,,1,0,0,0,1,2,8,2,2,1,rr95817w,,,,,,,,0
8,fp6k0k6z,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.011572+00:00,0,1,,,3,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,467,2,333,0,0,2,2,8,2,2,1,rr95817w,,,,,,,,0
9,sh6hsflz,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.169573+00:00,0,1,,,1,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,382,1,418,0,0,1,2,8,2,2,1,rr95817w,,,,,,,,0
10,fnzmcyq8,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.325574+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,1,39,83,31,74,30,4,6,67,,,,,,,,,334,1,234,,,,1,234,0,0,2,2,8,2,2,1,rr95817w,,,,,,,,0
11,smom7ta6,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.481575+00:00,0,1,,,3,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,332,2,468,0,0,3,2,8,2,2,1,rr95817w,,,,,,,,0
12,fgthtd8j,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.637576+00:00,0,1,,,2,800 tokens,800 tokens,1,76,67,92,2,9,68,89,64,,,,,,,,,467,1,367,,,,2,367,0,0,2,2,8,2,2,1,rr95817w,,,,,,,,0
1,u6wb86wx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:48.887364+00:00,0,1,,,2,0 tokens,0 tokens,1,22,28,70,95,68,69,51,52,,,,,,,,,455,1,355,,,,1,355,0,355,2,3,8,2,2,1,rr95817w,,,,,,,,0
2,euefk5r0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.090166+00:00,0,1,,,1,0 tokens,0 tokens,1,9,79,98,97,76,100,42,77,,,,,,,,,578,1,478,,,,2,478,0,478,2,3,8,2,2,1,rr95817w,,,,,,,,0
3,qpookmnh,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.246167+00:00,0,1,,,3,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,441,2,359,0,359,1,3,8,2,2,1,rr95817w,,,,,,,,0
4,38n1fons,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.402168+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,1,7,60,66,74,78,39,64,53,,,,,,,,,441,1,341,,,,2,341,0,341,1,3,8,2,2,1,rr95817w,,,,,,,,0
5,ircptch2,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.558169+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,349,1,451,0,451,3,3,8,2,2,1,rr95817w,,,,,,,,0
6,x7xka33o,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.714170+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,455,1,345,0,345,2,3,8,2,2,1,rr95817w,,,,,,,,0
7,kcpuzzz9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.871171+00:00,0,1,,,1,800 tokens,800 tokens,1,51,67,99,6,26,8,46,70,,,,,,,,,373,1,273,,,,1,273,0,273,1,3,8,2,2,1,rr95817w,,,,,,,,0
8,fp6k0k6z,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.011572+00:00,0,1,,,2,0 tokens,0 tokens,1,39,72,94,16,33,82,99,98,,,,,,,,,533,1,433,,,,1,433,0,433,3,3,8,2,2,1,rr95817w,,,,,,,,0
9,sh6hsflz,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.169573+00:00,0,1,,,3,0 tokens,0 tokens,1,50,58,79,25,93,10,29,5,,,,,,,,,349,1,249,,,,2,249,0,249,3,3,8,2,2,1,rr95817w,,,,,,,,0
10,fnzmcyq8,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.325574+00:00,0,1,,,4,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,533,2,267,0,267,3,3,8,2,2,1,rr95817w,,,,,,,,0
11,smom7ta6,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.481575+00:00,0,1,,,3,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,578,2,222,0,222,2,3,8,2,2,1,rr95817w,,,,,,,,0
12,fgthtd8j,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:50.637576+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,373,1,427,0,427,1,3,8,2,2,1,rr95817w,,,,,,,,0
1,u6wb86wx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:48.887364+00:00,0,1,,,3,0 tokens,0 tokens,1,80,99,2,7,87,60,33,34,,,,,,,,,402,1,302,,,,2,657,0,302,2,4,8,2,2,1,rr95817w,,,,,,,,0
2,euefk5r0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.090166+00:00,0,1,,,3,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,263,2,1015,0,537,1,4,8,2,2,1,rr95817w,,,,,,,,0
3,qpookmnh,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.246167+00:00,0,1,,,2,800 tokens,800 tokens,1,40,6,42,23,88,13,36,15,,,,,,,,,263,1,163,,,,2,522,0,163,1,4,8,2,2,1,rr95817w,,,,,,,,0
4,38n1fons,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:30:49.402168+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,1,11,2,21,89,16,97,85,96,,,,,,,,,417,1,317,,,,2,658,0,317,3,4,8,2,2,1,rr95817w,,,,,,,,0
