Participant.id_in_session,Participant.code,Participant.label,Participant._is_bot,Participant._index_in_pages,Participant._max_page_index,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.quiz_q1,Player.quiz_q2,Player.role_int,Player.seller_price0,Player.seller_price1,Player.seller_price2,Player.seller_price3,Player.seller_price4,Player.seller_price5,Player.seller_price6,Player.seller_price7,Player.seller_price8,Player.seller_price9,Player.seller_price10,Player.seller_price11,Player.seller_price12,Player.seller_price13,Player.seller_price14,Player.seller_price15,Player.seller_total_price,Player.sales,Player.earnings,Player.buyer_choice,Player.seller_selected,Player.price_paid,Player.identifier,Player.cum_profits,Player.clicks,Player.payoff,Group.id_in_subsession,Subsession.round_number,Subsession.num_prices,Subsession.sellers_per_group,Subsession.buyers_per_group,Session.code,Session.label,Session.experimenter_name,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.comment,Session.is_demo
1,3qynlu5i,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:40.501967+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,1,26,59,1,34,62,95,37,10,,,,,,,,,324,0,0,,,,1,,0,0,1,1,8,2,2,9jti9ddi,,,,,,,,0
2,wb9aowwd,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:40.720367+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,319,2,,0,481,1,1,8,2,2,9jti9ddi,,,,,,,,0
3,5f6bq0vp,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:40.876367+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,1,80,10,37,18,59,11,96,8,,,,,,,,,319,2,438,,,,2,,0,438,1,1,8,2,2,9jti9ddi,,,,,,,,0
4,cbi5hr5c,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:41.032367+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,319,1,,0,481,1,1,8,2,2,9jti9ddi,,,,,,,,0
1,3qynlu5i,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:40.501967+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,372,2,,0,428,1,2,8,2,2,9jti9ddi,,,,,,,,0
2,wb9aowwd,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:40.720367+00:00,0,1,,,4,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,278,1,,0,522,1,2,8,2,2,9jti9ddi,,,,,,,,0
3,5f6bq0vp,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:40.876367+00:00,0,1,,,3,0 tokens,0 tokens,1,32,33,74,21,61,37,55,59,,,,,,,,,372,1,272,,,,2,,0,272,1,2,8,2,2,9jti9ddi,,,,,,,,0
4,cbi5hr5c,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:41.032367+00:00,0,1,,,1,800 tokens,800 tokens,1,55,8,97,15,0,41,49,13,,,,,,,,,278,1,178,,,,1,,0,178,1,2,8,2,2,9jti9ddi,,,,,,,,0
1,3qynlu5i,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:40.501967+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,367,2,,0,0,1,3,8,2,2,9jti9ddi,,,,,,,,0
2,wb9aowwd,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:05:40.720367+00:00,0,1,,,1,800 tokens,800 tokens,1,72,17,56,10,93,5,9,53,,,,,,,,,315,0,0,,,,1,,0,0,1,3,8,2,2,9jti9ddi,,,,,,,,0
